"id","repository_name","home_page","oai_pmh"
2790,Mazowiecka Biblioteka Cyfrowa,http://mbc.cyfrowemazowsze.pl/dlibra,http://mbc.cyfrowemazowsze.pl/dlibra/oai-pmh-repository.xml
2791,Education and Research Archive,https://era.library.ualberta.ca/public/home,http://era.library.ualberta.ca/oaiprovider/
2792,DigitalAlgoma,http://www.algomau.ca/wishart-library/digitalalgoma,
2793,Repositorio de Consultorias Contratadas por el Minam,http://cdam.minam.gob.pe:8080/dspace-consultorias/,
2794,Electronic Thesis and Dissertation Library - LSU,http://gradschool.lsu.edu/Electronic%20Theses%20and%20Dissertations/ETD%20Homepage/item14923.html,
2795,Digital Collections Repository,https://digital.library.txstate.edu/,
2796,NASA Dryden Technical Reports Server,http://www.nasa.gov/centers/dryden/news/DTRS/index.html,
2797,University of Tennessee Digital Library Center,http://www.lib.utk.edu/scholar/,
2798,Digital Library of Modern Greek Studies,http://anemi.lib.uoc.gr/,http://anemi.lib.uoc.gr
2799,Open Archive - Universitas Indonesia,http://lib.ui.ac.id/harvest/,http://lib.ui.ac.id/harvest/index.php/oai
2800,FirstTech Institutional Repository,http://repository.nkfust.edu.tw/ir/,http://repository.nkfust.edu.tw/ir-oai/request
2801,Repositorio Digital UCE: Tesis e Investigaciones,http://www.dspace.uce.edu.ec,http://www.dspace.uce.edu.ec/oai/request
2802,MIDRA - University of Miskolc,http://midra.uni-miskolc.hu,http://midra.uni-miskolc.hu/oai/
2803,Bayerische StaatsBibliothek - Münchener Digitalisierungszentrum,http://www.digitale-sammlungen.de/,
2804,Linköping University Electronic Press,http://www.ep.liu.se/index.en.asp,
2805,Fagarkivet,http://fagarkivet.hioa.no/,http://fagarkivet.hioa.no/oai/request
2806,WSU Libraries Digital Collections,http://content.wsulibs.wsu.edu/,
2807,Black Abolitionist Archive,http://research.udmercy.edu/find/special_collections/digital/baa/,
2808,"ePLACE: preserving, learning, and creative exchange | Asbury Theological Seminary Research",http://place.asburyseminary.edu/,http://place.asburyseminary.edu/do/oai/
2809,Biblioteca Virtual del Ministerio de Defensa,http://bibliotecavirtualdefensa.es/BVMDefensa/,http://bibliotecavirtualdefensa.es/BVMDefensa/i18n/oai/oai_bibliotecavirtualdefensa.es.cmd
2810,USPERR - USP Electronic Research Repository,http://repository.usp.ac.fj/,http://repository.usp.ac.fj/cgi/oai2
2811,Biblioteca Digital de la Biblioteca Nacional del Maestro,http://www.bnm.me.gov.ar/cgi-bin/wxis.exe/opac/?IsisScript=opac/bibdig.xis&amp;dbn=UNIFICA&amp;ver_form=6,
2812,BESS Digital Archive,http://www.digibess.it,http://fc1.to.cnr.it/oaiprovider/
2813,La giustizia del diritto e il diritto della giustizia.,http://archiviomarini.sp.unipi.it,
2814,Korea Rural Economic Institute Repository(한국농촌경제연구원),http://rspace.krei.re.kr/,http://rspace.krei.re.kr/dspace-oai/request
2815,Vilnius Gediminas Technical University (VGTU) on-line,http://dspace.vgtu.lt/,
2816,Repositorio de la Ciencia y Cultura de El Salvador REDICCES,http://www.redicces.org.sv,http://www.redicces.org.sv/oai/request?
2817,Future University Hakodate Academic Archive,http://lib-repos.fun.ac.jp/dspace/,
2818,Don Bosco Research Repository (Philippines),http://repository.donbosco.net,
2819,CC-DOC: Documentación en Ciencias de la Comunicación,http://ccdoc.iteso.mx,http://ccdoc.iteso.mx/oai.aspx
2820,Welcome to CSIR-AMPRI DRS - CSIR-AMPRI DRS,http://eprints.ampri.res.in,http://eprints.ampri.res.in/cgi/oai2
2821,Sémaphore - dépôt numérique de l'Université du Québec à Rimouski,http://semaphore.uqar.ca,
2822,DA-ARTs: Home,http://da.knaa.or.kr/,http://da.knaa.or.kr/oai/request
2823,AJOU Open Repository(아주대학교 의학문헌정보센터),http://repository.ajou.ac.kr/,http://repository.ajou.ac.kr/dspace-oai/request
2824,DSpace at INHA University(인하대학교),http://dspace.inha.ac.kr/,http://dspace.inha.ac.kr/dspace-oai/request
2825,KIHASA Repository(한국보건사회연구원),http://repository.kihasa.re.kr:8080/,http://repository.kihasa.re.kr:8080/dspace-oai/request
2826,Korea Research Institute of Bioscience and Biotechnology Repository(한국생명공학연구원),http://repository.kribb.re.kr/,http://repository.kribb.re.kr:8080/dspace-oai/request
2827,KORDI Repository(한국해양과학기술원),http://repository.kordi.re.kr/,http://repository.kordi.re.kr/dspace-oai/request
2828,Korea Institute of Science and Technology Repository(한국과학기술연구원),http://pubs.kist.re.kr/,http://pubs.kist.re.kr/oai
2829,DSpace at Chemical Engineering Research Information Center: CHERIC-IR Home,http://repository.cheric.org/,http://repository.cheric.org/dspace-oai/request
2830,Medical Research Inormation Center,http://dspace.medric.or.kr/,http://dspace.medric.or.kr/oai/request
2831,Collection Of Biostatistics Research Archive,http://biostats.bepress.com/,http://biostats.bepress.com/do/oai/?
2832,Publikations- und Dokumentenserver der Universitätsbibliothek Siegen,http://dokumentix.ub.uni-siegen.de/opus/,
2833,National Engineering Education Delivery System,http://www.needs.org/needs/,http://www.needs.org/servlet/oai2
2834,CURVE/open: Coventry University Repository for the Virtual Environment,http://curve.coventry.ac.uk/open,http://curve.coventry.ac.uk/open/oai
2835,Radboud Repository,http://repository.ubn.ru.nl/,http://repository.ubn.ru.nl/dspace-oai/request
2836,Emporia State Institutional Repository Collection (ESIRC),https://esirc.emporia.edu/,
2837,Memorial University Research Repository,http://research.library.mun.ca/,http://research.library.mun.ca/cgi/oai2
2838,IIT Roorkee Repository,http://bhagirathi.iitr.ac.in/dspace/,
2839,Swinburne Research Bank,http://researchbank.swinburne.edu.au/vital/access/manager/Index,http://researchbank.swinburne.edu.au:8080/fedora/oai
2840,Electronic Thesis and Dissertation Library - LSU,http://etd.uis.lsu.edu/cgi-bin/ETD-browse/browse,
2841,DSpace at The College of William and Mary,https://digitalarchive.wm.edu/,https://digitalarchive.wm.edu/oai/request
2842,Huskie Commons,http://commons.lib.niu.edu/,
2843,Nemertes,http://nemertes.lis.upatras.gr/jspui/,http://nemertes.lis.upatras.gr/dspace-oai/request
2844,USC Digital Library,http://digitallibrary.usc.edu/search/controller/index.htm,
2845,Digital Collections,http://www.library.okstate.edu/digital/index.htm,
2846,Open Archief van VIOE-publicaties,https://oar.onroerenderfgoed.be/,https://oar.onroerenderfgoed.be/oai2.php
2847,Digital Assets Repository,http://dar.bibalex.org/webpages/dar.jsf,
2848,Digital Library of Jelenia Góra,http://jbc.jelenia-gora.pl/dlibra.html,http://jbc.jelenia-gora.pl/dlibra/oai-pmh-repository.xml
2849,Open Digital Archive at Oslo and Akershus University College,https://oda.hio.no/jspui/,https://oda.hio.no/oai/request
2850,INtellectual property in DIGital form available online in an Open environment,http://indigo.lib.uic.edu:8080/dspace/,http://indigo.lib.uic.edu:8080/dspace-oai/request
2851,Biblioteca Virtual de Andalucía,http://www.juntadeandalucia.es/index.html,
2852,Biblioteca Virtual Silverio Lanza,http://bibliotecadigital.getafe.es/bvgetafe/i18n/estaticos/contenido.cmd?pagina=estaticos/presentacion,http://bibliotecadigital.getafe.es/bvgetafe/i18n/oai/oai_bibliotecadigital.getafe.es.cmd
2853,KHiO Brage,http://brage.bibsys.no/khio/,http://brage.bibsys.no/khio/request
2854,OZone provided by Ontario Scholars Portal,https://ospace.scholarsportal.info/,https://ospace.scholarsportal.info/oai/request
